Country,2020 Pop Density (pop/km^2),2019 Pop Density (pop/km^2),2018 Pop Density (pop/km^2),2017 Pop Density (pop/km^2),2016 Pop Density (pop/km^2),2015 Pop Density (pop/km^2),2014 Pop Density (pop/km^2),2013 Pop Density (pop/km^2),2012 Pop Density (pop/km^2),2011 Pop Density (pop/km^2),2010 Pop Density (pop/km^2),2009 Pop Density (pop/km^2),2008 Pop Density (pop/km^2),2007 Pop Density (pop/km^2),2006 Pop Density (pop/km^2),2005 Pop Density (pop/km^2),2004 Pop Density (pop/km^2),2003 Pop Density (pop/km^2),2002 Pop Density (pop/km^2),2001 Pop Density (pop/km^2),2000 Pop Density (pop/km^2),
Germany,234.08,233.24,232.12,231.01,229.61,228.49,227.65,226.82,226.26,225.98,225.7,225.98,226.54,227.09,227.65,227.93,227.93,227.93,227.65,227.65,227.37,
Moldova,118.88,119.17,119.47,119.76,120.06,120.06,120.06,120.06,120.35,120.35,120.65,120.94,121.24,121.83,122.42,122.71,123.01,123.01,123.3,123.6,123.89,
