Country,Mammals per Capita,Birds per Capita,Fish per Capita,Plants per Capita,
Canada,5.28e-07,7.04e-07,1.29e-06,5.28e-07,
Fed. Sts. Micronesia,4.66e-05,1.12e-04,2.33e-04,4.66e-05,
